Active workspace: harness-wrapper  (via frame)

  WORKSPACE                  MODE   CLONES  REPOS
  authority-audit            live   1       charter
  autonomy                   live   1       charter
  charter-update-skill       local  1       charter
  default                    local  0       —
  fix-843-tmux-poll          local  1       charter
  fleet                      local  1       charter
* harness-wrapper            live   1       charter
  news-dispatch-guard        live   1       charter
  opencode-integration       local  1       charter
  plane-shape                live   0       —
  relations-and-delegations  live   1       charter
  release-0-56-0             local  1       charter
  showcase                   local  1       charter
  statusline-improvements    live   1       charter
  todos                      live   0       —
  tracking-github-issues     local  1       charter
  user-reporting             live   0       —
